7235-randolph-232-w,AIR-AP1810W-B-K9,00:42:5a:b0:13:60,randolph,US,10.140.47.101,0
7235-randolph-233-w,AIR-AP1810W-B-K9,00:42:5a:b0:57:a8,randolph,US,10.140.47.98,0
7235-randolph-234-w,AIR-AP1810W-B-K9,00:42:5a:b0:0a:40,randolph,US,10.140.47.54,0
7235-randolph-236-w,AIR-AP1810W-B-K9,00:42:5a:b0:0f:60,randolph,US,10.140.47.103,0
7235-randolph-237-w,AIR-AP1810W-B-K9,00:42:5a:b0:0f:70,randolph,US,10.140.47.55,0
7235-randolph-238-w,AIR-AP1810W-B-K9,00:42:5a:b0:0d:40,randolph,US,10.140.47.53,0
7235-randolph-240-w,AIR-AP1810W-B-K9,00:42:5a:b0:0c:20,randolph,US,10.140.47.58,0
7235-randolph-241-w,AIR-AP1810W-B-K9,00:42:5a:b0:01:28,randolph,US,10.140.47.56,0
7235-randolph-242-w,AIR-AP1810W-B-K9,00:42:5a:b0:12:70,randolph,US,10.140.47.106,0
7235-randolph-244-w,AIR-AP1810W-B-K9,00:42:5a:b4:03:50,randolph,US,10.140.47.100,0
7235-randolph-245-w,AIR-AP1810W-B-K9,00:42:5a:b0:3c:b8,randolph,US,10.140.47.43,0
7235-randolph-246-w,AIR-AP1810W-B-K9,00:42:5a:b0:1d:10,randolph,US,10.140.47.107,0
7235-randolph-247-w,AIR-AP1810W-B-K9,00:42:5a:b0:33:40,randolph,US,10.140.47.3,0
7235-randolph-248-w,AIR-AP1810W-B-K9,00:42:5a:b0:1d:48,randolph,US,10.140.47.59,0
7235-randolph-249-h-c,AIR-AP2802I-B-K9,2c:5a:0f:ed:22:34,randolph,US,10.140.47.44,0
7235-randolph-249-w,AIR-AP1810W-B-K9,00:42:5a:b0:2e:78,randolph,US,10.140.47.110,0
7235-randolph-250-w,AIR-AP1810W-B-K9,00:42:5a:ae:60:58,randolph,US,10.140.47.62,0
7235-randolph-251-w,AIR-AP1810W-B-K9,00:42:5a:b0:0e:40,randolph,US,10.140.47.108,0
7235-randolph-252-w,AIR-AP1810W-B-K9,00:42:5a:b0:38:80,randolph,US,10.140.47.64,0
7235-randolph-253-w,AIR-AP1810W-B-K9,00:42:5a:b0:52:f8,randolph,US,10.140.47.81,0
7235-randolph-254-w,AIR-AP1810W-B-K9,00:42:5a:b0:33:58,randolph,US,10.140.47.121,0
7235-randolph-301-w,AIR-AP1810W-B-K9,00:42:5a:b0:34:30,randolph,US,10.140.47.25,0
7235-randolph-302-w,AIR-AP1810W-B-K9,00:42:5a:b0:33:d8,randolph,US,10.140.47.27,0
7235-randolph-303-w,AIR-AP1810W-B-K9,00:42:5a:b0:2c:c0,randolph,US,10.140.47.48,0
7235-randolph-304-w,AIR-AP1810W-B-K9,00:42:5a:ae:62:68,randolph,US,10.140.47.28,0
7235-randolph-305-w,AIR-AP1810W-B-K9,00:42:5a:b0:2d:08,randolph,US,10.140.47.80,0
7235-randolph-306-w,AIR-AP1810W-B-K9,00:42:5a:b0:22:40,randolph,US,10.140.47.26,0
7235-randolph-307-w,AIR-AP1810W-B-K9,00:42:5a:b0:10:b8,randolph,US,10.140.47.116,0
7235-randolph-308-w,AIR-AP1810W-B-K9,00:42:5a:b0:11:40,randolph,US,10.140.47.24,0
7235-randolph-309-w,AIR-AP1810W-B-K9,00:42:5a:ae:5d:08,randolph,US,10.140.47.78,0
7235-randolph-310-w,AIR-AP1810W-B-K9,00:42:5a:ae:58:f8,randolph,US,10.140.47.22,0
7235-randolph-311-w,AIR-AP1810W-B-K9,00:42:5a:b0:0f:40,randolph,US,10.140.47.29,0
7235-randolph-313-w,AIR-AP1810W-B-K9,00:b0:e1:82:18:70,randolph,US,10.140.47.23,0
7235-randolph-314-w,AIR-AP1810W-B-K9,00:42:5a:b4:16:f8,randolph,US,10.140.47.20,0
7235-randolph-315-h-c,AIR-AP2802I-B-K9,00:f6:63:13:a6:64,randolph,US,10.140.47.118,0
7235-randolph-315-w,AIR-AP1810W-B-K9,00:42:5a:b0:22:88,randolph,US,10.140.47.21,0
7235-randolph-317-w,AIR-AP1810W-B-K9,00:42:5a:b0:58:50,randolph,US,10.140.47.111,0
7235-randolph-318-w,AIR-AP1810W-B-K9,00:42:5a:b0:1d:78,randolph,US,10.140.47.52,0
7235-randolph-319-w,AIR-AP1810W-B-K9,00:42:5a:b0:59:48,randolph,US,10.140.47.122,0
7235-randolph-321-w,AIR-AP1810W-B-K9,00:42:5a:b0:4d:b8,randolph,US,10.140.47.96,0
7235-randolph-322-w,AIR-AP1810W-B-K9,00:42:5a:b0:48:58,randolph,US,10.140.47.99,0
7235-randolph-323-w,AIR-AP1810W-B-K9,00:42:5a:b0:5b:50,randolph,US,10.140.47.69,0
7235-randolph-324-w,AIR-AP1810W-B-K9,00:42:5a:b4:14:e8,randolph,US,10.140.47.57,0
7235-randolph-325-w,AIR-AP1810W-B-K9,00:42:5a:b0:0e:c8,randolph,US,10.140.47.124,0
7235-randolph-326-w,AIR-AP1810W-B-K9,00:42:5a:b0:0d:c8,randolph,US,10.140.47.47,0
7235-randolph-327-w,AIR-AP1810W-B-K9,00:42:5a:b0:09:f8,randolph,US,10.140.47.51,0
7235-randolph-328-w,AIR-AP1810W-B-K9,00:42:5a:b0:0a:90,randolph,US,10.140.47.97,0
7235-randolph-329-w,AIR-AP1810W-B-K9,00:42:5a:b0:0d:c0,randolph,US,10.140.47.50,0
7235-randolph-330-w,AIR-AP1810W-B-K9,00:42:5a:b4:15:b8,randolph,US,10.140.47.32,0
7235-randolph-331-w,AIR-AP1810W-B-K9,00:42:5a:b0:38:d0,randolph,US,10.140.47.46,0
7235-randolph-332-w,AIR-AP1810W-B-K9,00:42:5a:b0:5a:30,randolph,US,10.140.47.38,0
7235-randolph-333-w,AIR-AP1810W-B-K9,00:42:5a:b0:4d:00,randolph,US,10.140.47.93,0
7235-randolph-334-w,AIR-AP1810W-B-K9,00:42:5a:b0:53:d0,randolph,US,10.140.47.94,0
7235-randolph-336-w,AIR-AP1810W-B-K9,00:42:5a:ae:5c:50,randolph,US,10.140.47.109,0
7235-randolph-337-w,AIR-AP1810W-B-K9,00:42:5a:b0:4c:20,randolph,US,10.140.47.95,0
7235-randolph-338-h-c,AIR-AP2802I-B-K9,00:2c:c8:99:a0:64,randolph,US,10.140.47.105,0
7235-randolph-338-w,AIR-AP1810W-B-K9,00:42:5a:b0:54:d0,randolph,US,10.140.47.41,0
7235-randolph-340-w,AIR-AP1810W-B-K9,00:42:5a:b0:58:80,randolph,US,10.140.47.91,0
7235-randolph-341-w,AIR-AP1810W-B-K9,00:42:5a:b0:58:88,randolph,US,10.140.47.90,0
7235-randolph-342-w,AIR-AP1810W-B-K9,00:42:5a:b0:22:10,randolph,US,10.140.47.40,0
7235-randolph-344-w,AIR-AP1810W-B-K9,00:42:5a:ae:5f:c8,randolph,US,10.140.47.36,0
7235-randolph-345-w,AIR-AP1810W-B-K9,00:42:5a:b0:52:70,randolph,US,10.140.47.89,0
7235-randolph-346-w,AIR-AP1810W-B-K9,00:42:5a:b4:18:68,randolph,US,10.140.47.88,0
7235-randolph-347-w,AIR-AP1810W-B-K9,00:42:5a:b0:05:60,randolph,US,10.140.47.35,0
7235-randolph-348-w,AIR-AP1810W-B-K9,00:42:5a:b0:14:90,randolph,US,10.140.47.34,0
7235-randolph-349-w,AIR-AP1810W-B-K9,00:42:5a:ae:61:a0,randolph,US,10.140.47.33,0
7235-randolph-350-w,AIR-AP1810W-B-K9,00:42:5a:b0:0e:88,randolph,US,10.140.47.60,0
7235-randolph-351-w,AIR-AP1810W-B-K9,00:42:5a:b0:05:d0,randolph,US,10.140.47.86,0
7235-randolph-352-w,AIR-AP1810W-B-K9,00:42:5a:b0:0c:c0,randolph,US,10.140.47.87,0
7235-randolph-353-w,AIR-AP1810W-B-K9,00:42:5a:b0:14:d8,randolph,US,10.140.47.85,0
7235-randolph-354-w,AIR-AP1810W-B-K9,00:42:5a:b0:12:f8,randolph,US,10.140.47.31,0
7236-belltower-102me-c,AIR-AP2802I-B-K9,00:2c:c8:99:9d:e8,belltower,US,10.140.231.17,0
7236-belltower-103gm-c,AIR-AP2802I-B-K9,2c:5a:0f:ed:24:0e,belltower,US,10.140.231.143,0
7236-belltower-104brk-w,AIR-AP1810W-B-K9,00:42:5a:b0:5e:d8,belltower,US,10.140.231.104,1
7236-belltower-106off-w,AIR-AP1810W-B-K9,00:42:5a:b0:5b:88,belltower,US,10.140.231.121,1
7236-belltower-107off-w,AIR-AP1810W-B-K9,00:42:5a:b0:60:48,belltower,US,10.140.231.10,2
7236-belltower-108off-w,AIR-AP1810W-B-K9,00:42:5a:b0:1a:48,belltower,US,10.140.231.120,1
7236-belltower-109sh-w,AIR-AP1810W-B-K9,00:42:5a:b0:12:30,belltower,US,10.140.231.123,1
7236-belltower-110cr-c,AIR-AP2802I-B-K9,2c:5a:0f:ed:52:c8,belltower,US,10.140.231.141,0
7236-belltower-111rr-w,AIR-AP1810W-B-K9,00:42:5a:b0:5e:e0,belltower,US,10.140.231.122,0
7236-belltower-113cr-c,AIR-AP2802I-B-K9,00:f6:63:13:c7:68,default,location,US,10.140.231.16
7236-belltower-115mt-c,AIR-AP2802I-B-K9,2c:5a:0f:a6:85:62,default,location,US,10.140.231.15
7236-belltower-117mt-w,AIR-AP1810W-B-K9,00:42:5a:ae:45:78,belltower,US,10.140.231.134,0
7236-belltower-122off-c,AIR-AP2802I-B-K9,2c:5a:0f:a6:87:06,bellower,US,10.140.231.140,2
7236-belltower-200-w,AIR-AP1810W-B-K9,00:42:5a:b0:1c:60,belltower,US,10.140.7.120,0
7236-belltower-201-w,AIR-AP1810W-B-K9,00:42:5a:b0:0c:30,belltower,US,10.140.7.75,0
7236-belltower-202-w,AIR-AP1810W-B-K9,00:42:5a:b0:0e:70,belltower,US,10.140.7.74,0
7236-belltower-203-w,AIR-AP1810W-B-K9,00:42:5a:b0:3d:80,belltower,US,10.140.7.13,0
7236-belltower-204-w,AIR-AP1810W-B-K9,00:42:5a:b0:0e:20,belltower,US,10.140.7.12,0
7236-belltower-205-w,AIR-AP1810W-B-K9,00:42:5a:b0:57:60,belltower,US,10.140.7.11,0
7236-belltower-206-w,AIR-AP1810W-B-K9,00:42:5a:b0:0b:f8,belltower,US,10.140.231.12,0
7236-belltower-207-w,AIR-AP1810W-B-K9,00:42:5a:b0:05:e0,belltower,US,10.140.7.89,0
7236-belltower-208-w,AIR-AP1810W-B-K9,00:42:5a:b0:1a:c8,belltower,US,10.140.7.81,0
7236-belltower-209-w,AIR-AP1810W-B-K9,00:42:5a:b0:1a:f0,belltower,US,10.140.7.67,0
7236-belltower-210-w,AIR-AP1810W-B-K9,00:42:5a:b0:0e:b8,belltower,US,10.140.7.80,0
7236-belltower-212-w,AIR-AP1810W-B-K9,00:42:5a:b0:12:00,belltower,US,10.140.231.137,0
7236-belltower-213br-w,AIR-AP1810W-B-K9,00:42:5a:b0:3b:80,belltower,US,10.140.231.13,0
7236-belltower-213b-w,AIR-AP1810W-B-K9,00:42:5a:b0:36:28,belltower,US,10.140.7.59,0
7236-belltower-213k-w,AIR-AP1810W-B-K9,00:42:5a:b0:58:38,belltower,US,10.140.231.139,0
7236-belltower-213lr-w,AIR-AP1810W-B-K9,00:42:5a:b0:0b:50,belltower,US,10.140.231.14,0
7236-belltower-213-w,AIR-AP1810W-B-K9,00:42:5a:b0:0f:30,belltower,US,10.140.7.117,0
7236-belltower-214-w,AIR-AP1810W-B-K9,00:42:5a:b0:09:e0,belltower,US,10.140.7.48,0
7236-belltower-215-w,AIR-AP1810W-B-K9,00:42:5a:b0:10:08,belltower,US,10.140.7.57,0
7236-belltower-216-w,AIR-AP1810W-B-K9,00:42:5a:b0:33:20,belltower,US,10.140.231.11,0
7236-belltower-217-w,AIR-AP1810W-B-K9,00:42:5a:b0:06:18,belltower,US,10.140.7.25,0
7236-belltower-218cm-c,AIR-AP2802I-B-K9,2c:5a:0f:d6:0f:b2,bellower,US,10.140.231.144,0
7236-belltower-218-w,AIR-AP1810W-B-K9,00:42:5a:b0:1a:b0,belltower,US,10.140.231.138,0
7236-belltower-219-w,AIR-AP1810W-B-K9,00:42:5a:b0:0f:10,belltower,US,10.140.7.69,0
7236-belltower-220-w,AIR-AP1810W-B-K9,00:42:5a:b0:0a:b8,belltower,US,10.140.7.123,0
7236-belltower-221-w,AIR-AP1810W-B-K9,00:42:5a:b0:49:d0,belltower,US,10.140.7.112,0
7236-belltower-222-w,AIR-AP1810W-B-K9,00:42:5a:ae:62:d0,belltower,US,10.140.7.37,0
7236-belltower-223-w,AIR-AP1810W-B-K9,00:42:5a:b0:4e:08,belltower,US,10.140.7.71,0
7236-belltower-224-w,AIR-AP1810W-B-K9,00:42:5a:b0:11:00,belltower,US,10.140.7.66,0
7236-belltower-225-w,AIR-AP1810W-B-K9,00:42:5a:b0:3d:50,belltower,US,10.140.7.68,0
7236-belltower-226-w,AIR-AP1810W-B-K9,00:42:5a:b0:17:d8,belltower,US,10.140.7.64,1
7236-belltower-227-w,AIR-AP1810W-B-K9,00:42:5a:b0:05:78,belltower,US,10.140.231.185,0
7236-belltower-228-w,AIR-AP1810W-B-K9,00:42:5a:b0:50:e0,belltower,US,10.140.7.110,0
7236-belltower-300-w,AIR-AP1810W-B-K9,00:42:5a:b0:38:b8,belltower,US,10.140.231.132,0
7236-belltower-301-w,AIR-AP1810W-B-K9,00:42:5a:b0:33:c8,belltower,US,10.140.7.63,0
7236-belltower-302-w,AIR-AP1810W-B-K9,00:42:5a:b0:56:e0,belltower,US,10.140.7.113,0
7236-belltower-303-w,AIR-AP1810W-B-K9,00:42:5a:ae:65:28,belltower,US,10.140.231.77,0
7236-belltower-304-w,AIR-AP1810W-B-K9,00:42:5a:b0:05:a8,belltower,US,10.140.7.118,0
7236-belltower-305-w,AIR-AP1810W-B-K9,00:42:5a:b0:0a:30,belltower,US,10.140.7.96,0
7236-belltower-306-w,AIR-AP1810W-B-K9,00:42:5a:b0:0b:00,belltower,US,10.140.231.128,0
7236-belltower-307-w,AIR-AP1810W-B-K9,00:42:5a:b0:10:e8,belltower,US,10.140.7.109,0
7236-belltower-308-w,AIR-AP1810W-B-K9,00:42:5a:b0:04:08,belltower,US,10.140.7.77,0
7236-belltower-309-2-w,AIR-AP1810W-B-K9,00:42:5a:ae:5a:b0,belltower,US,10.140.231.129,1
7236-belltower-309-3-w,AIR-AP1810W-B-K9,00:42:5a:b0:60:58,belltower,US,10.140.231.126,0
7236-belltower-309-4-w,AIR-AP1810W-B-K9,00:42:5a:b0:1e:c0,belltower,US,10.140.7.33,0
7236-belltower-309-w,AIR-AP1810W-B-K9,00:42:5a:b0:4f:30,belltower,US,10.140.7.29,0
7236-belltower-310-w,AIR-AP1810W-B-K9,00:42:5a:b0:50:68,belltower,US,10.140.231.135,0
7236-belltower-311-w,AIR-AP1810W-B-K9,00:42:5a:b0:3d:a0,belltower,US,10.140.7.51,0
7236-belltower-312-w,AIR-AP1810W-B-K9,00:42:5a:b0:08:48,belltower,US,10.140.7.52,0
7236-belltower-313-w,AIR-AP1810W-B-K9,00:42:5a:b0:09:a8,belltower,US,10.140.7.58,0
7236-belltower-314-w,AIR-AP1810W-B-K9,00:42:5a:b2:08:70,belltower,US,10.140.7.79,0
7236-belltower-315-w,AIR-AP1810W-B-K9,00:42:5a:b0:32:d0,belltower,US,10.140.7.61,0
7236-belltower-316-w,AIR-AP1810W-B-K9,00:42:5a:b0:3c:b0,belltower,US,10.140.231.130,0
7236-belltower-317-w,AIR-AP1810W-B-K9,00:42:5a:b0:32:e8,belltower,US,10.140.7.82,0
7236-belltower-318cm-c,AIR-AP2802I-B-K9,2c:5a:0f:d6:0f:a8,belltower,US,10.140.231.18,0
7236-belltower-318-w,AIR-AP1810W-B-K9,00:42:5a:ae:59:10,belltower,US,10.140.7.55,0
7236-belltower-319-w,AIR-AP1810W-B-K9,00:42:5a:b0:51:48,belltower,US,10.140.7.121,0
7236-belltower-320-w,AIR-AP1810W-B-K9,00:42:5a:b2:04:f8,belltower,US,10.140.231.213,0
7236-belltower-321-w,AIR-AP1810W-B-K9,00:42:5a:b0:03:90,belltower,US,10.140.231.127,0
7236-belltower-322-w,AIR-AP1810W-B-K9,00:42:5a:b2:01:d8,belltower,US,10.140.7.36,0
7236-belltower-323-w,AIR-AP1810W-B-K9,00:42:5a:b0:0e:68,belltower,US,10.140.231.125,0
7236-belltower-324-w,AIR-AP1810W-B-K9,00:42:5a:b2:07:f8,belltower,US,10.140.7.53,0
7236-belltower-325-w,AIR-AP1810W-B-K9,00:42:5a:b0:0d:08,belltower,US,10.140.231.149,0
7236-belltower-326-w,AIR-AP1810W-B-K9,00:42:5a:b0:57:e8,belltower,US,10.140.231.133,0
7236-belltower-327-w,AIR-AP1810W-B-K9,00:42:5a:b0:10:68,belltower,US,10.140.7.50,0
7236-belltower-328-w,AIR-AP1810W-B-K9,00:42:5a:b0:50:30,belltower,US,10.140.231.124,0
7236-belltower-400-w,AIR-AP1810W-B-K9,00:42:5a:b0:1b:f8,belltower,US,10.140.7.78,0
7236-belltower-401-w,AIR-AP1810W-B-K9,00:42:5a:b0:1c:b8,belltower,US,10.140.7.40,0
7236-belltower-402-w,AIR-AP1810W-B-K9,00:42:5a:b0:19:08,belltower,US,10.140.7.115,0
7236-belltower-403-w,AIR-AP1810W-B-K9,00:42:5a:b0:59:d8,belltower,US,10.140.7.73,0
7236-belltower-404-w,AIR-AP1810W-B-K9,00:42:5a:b0:5c:68,belltower,US,10.140.7.70,0
7236-belltower-405-w,AIR-AP1810W-B-K9,00:42:5a:b0:5b:d8,belltower,US,10.140.231.199,0
7236-belltower-406-w,AIR-AP1810W-B-K9,00:42:5a:b0:5f:60,belltower,US,10.140.7.38,0
7236-belltower-407-w,AIR-AP1810W-B-K9,00:42:5a:b0:32:60,belltower,US,10.140.7.54,0
7236-belltower-408-w,AIR-AP1810W-B-K9,00:42:5a:b0:35:78,belltower,US,10.140.7.24,0
7236-belltower-410-w,AIR-AP1810W-B-K9,00:42:5a:b0:3b:d0,belltower,US,10.140.7.105,0
7236-belltower-411-w,AIR-AP1810W-B-K9,00:42:5a:b0:3f:f8,belltower,US,10.140.7.16,0
7236-belltower-412-w,AIR-AP1810W-B-K9,00:42:5a:b0:1f:98,belltower,US,10.140.7.14,0
7236-belltower-413-w,AIR-AP1810W-B-K9,00:42:5a:b0:2c:28,belltower,US,10.140.7.15,0
7236-belltower-414-w,AIR-AP1810W-B-K9,00:42:5a:b0:60:18,belltower,US,10.140.7.114,0
7236-belltower-415-w,AIR-AP1810W-B-K9,00:42:5a:b0:35:00,belltower,US,10.140.7.35,0
7236-belltower-416-w,AIR-AP1810W-B-K9,00:42:5a:b0:1b:20,belltower,US,10.140.7.122,0
7236-belltower-417-w,AIR-AP1810W-B-K9,00:42:5a:b0:3b:c8,belltower,US,10.140.7.26,0
7236-belltower-418cm-c,AIR-AP2802I-B-K9,00:f6:63:13:a0:6e,belltower,US,10.140.231.19,0
7236-belltower-418-w,AIR-AP1810W-B-K9,00:eb:d5:10:0e:68,belltower,US,10.140.7.9,0
7236-belltower-419-w,AIR-AP1810W-B-K9,00:42:5a:b0:35:30,belltower,US,10.140.231.147,0
7236-belltower-420-w,AIR-AP1810W-B-K9,00:42:5a:b0:3c:38,belltower,US,10.140.7.76,0
7236-belltower-421-w,AIR-AP1810W-B-K9,00:42:5a:b0:57:b8,belltower,US,10.140.7.18,0
7236-belltower-422-w,AIR-AP1810W-B-K9,00:42:5a:b0:1b:78,belltower,US,10.140.7.17,0
7236-belltower-423-w,AIR-AP1810W-B-K9,00:42:5a:b0:1f:b0,belltower,US,10.140.7.34,0
7236-belltower-424-w,AIR-AP1810W-B-K9,00:42:5a:b0:60:68,belltower,US,10.140.7.62,0
7236-belltower-425-w,AIR-AP1810W-B-K9,00:42:5a:b0:5d:b8,belltower,US,10.140.7.10,0
7236-belltower-426-w,AIR-AP1810W-B-K9,00:42:5a:b0:20:b0,belltower,US,10.140.7.72,0
7236-belltower-427-w,AIR-AP1810W-B-K9,00:42:5a:b0:5e:28,belltower,US,10.140.7.47,0
7236-belltower-428-w,AIR-AP1810W-B-K9,00:42:5a:b0:5e:80,belltower,US,10.140.231.131,0
7237-trinity-101-c,AIR-AP2802I-B-K9,38:90:a5:b9:97:36,trinity,US,10.140.237.148,0
7237-trinity-102-c,AIR-AP2802I-B-K9,00:f2:8b:27:ec:a6,trinity,US,10.140.236.103,0
7237-trinity-103-2-c,AIR-AP2802I-B-K9,50:0f:80:f5:fb:2c,trinity,US,10.140.236.104,0
7237-trinity-105-c,AIR-AP2802I-B-K9,a0:3d:6f:98:a0:58,trinity,US,10.140.237.203,2
7237-trinity-106-c,AIR-AP2802I-B-K9,38:90:a5:b9:98:1e,trinity,US,10.140.237.71,0
7237-trinity-107-c,AIR-AP2802I-B-K9,38:90:a5:b9:9b:40,trinity,US,10.140.236.121,0
7237-trinity-117-c,AIR-AP2802I-B-K9,50:0f:80:f5:ff:de,trinity,US,10.140.237.11,1
7237-trinity-121-c,AIR-AP2802I-B-K9,70:70:8b:53:5a:80,trinity,US,10.140.237.233,0
7237-trinity-122-c,AIR-AP2802I-B-K9,38:90:a5:b9:9b:48,trinity,US,10.140.237.121,1
7237-trinity-125-2-c,AIR-AP2802I-B-K9,70:70:8b:53:4c:c6,trinity,US,10.140.237.116,1
7237-trinity-145-c,AIR-AP2802I-B-K9,00:f2:8b:27:ec:e0,trinity,US,10.140.236.118,0
7237-trinity-147-w,AIR-AP1810W-B-K9,00:42:5a:b0:65:78,trinity,US,10.140.236.119,0
7237-trinity-148-w,AIR-AP1810W-B-K9,00:42:5a:b0:65:60,trinity,US,10.140.236.97,2
7237-trinity-149-w,AIR-AP1810W-B-K9,00:42:5a:b0:65:40,trinity,US,10.140.237.108,0
7237-trinity-157-w,AIR-AP1810W-B-K9,00:42:5a:b0:65:48,trinity,US,10.140.236.113,1
7237-trinity-158-w,AIR-AP1810W-B-K9,00:42:5a:b2:02:38,trinity,US,10.140.237.33,0
7237-trinity-159-w,AIR-AP1810W-B-K9,00:42:5a:b0:65:f8,trinity,US,10.140.236.98,1
7237-trinity-160-w,AIR-AP1810W-B-K9,00:42:5a:b0:65:20,trinity,US,10.140.236.101,0
7237-trinity-161-w,AIR-AP1810W-B-K9,00:42:5a:b0:4b:50,trinity,US,10.140.236.99,0
7237-trinity-162-w,AIR-AP1810W-B-K9,00:42:5a:b2:01:88,trinity,US,10.140.236.214,0
7237-trinity-163-w,AIR-AP1810W-B-K9,00:42:5a:b0:65:68,trinity,US,10.140.237.26,2
7237-trinity-164-w,AIR-AP1810W-B-K9,00:42:5a:b2:01:e0,trinity,US,10.140.237.190,0
7237-trinity-174-w,AIR-AP1810W-B-K9,00:42:5a:b0:5f:90,trinity,US,10.140.237.209,4
7237-trinity-175-w,AIR-AP1810W-B-K9,00:42:5a:b0:63:60,trinity,US,10.140.236.100,3
7237-trinity-177-w,AIR-AP1810W-B-K9,00:42:5a:b0:61:d8,trinity,US,10.140.237.17,9
7237-trinity-202-w,AIR-AP1810W-B-K9,00:42:5a:b4:05:30,trinity,US,10.140.237.9,0
7237-trinity-203-w,AIR-AP1810W-B-K9,00:42:5a:b4:09:00,trinity,US,10.140.236.23,0
7237-trinity-204-c,AIR-AP2802I-B-K9,40:01:7a:70:2f:a6,trinity,US,10.140.236.110,0
7237-trinity-205-w,AIR-AP1810W-B-K9,00:42:5a:b2:61:18,trinity,US,10.140.236.24,0
7237-trinity-206-w,AIR-AP1810W-B-K9,00:42:5a:b4:07:b0,trinity,US,10.140.237.19,0
7237-trinity-207-w,AIR-AP1810W-B-K9,00:42:5a:b4:0a:78,trinity,US,10.140.236.221,0
7237-trinity-208-w,AIR-AP1810W-B-K9,00:42:5a:b2:61:30,trinity,US,10.140.236.253,0
7237-trinity-209-w,AIR-AP1810W-B-K9,00:42:5a:b2:5a:d8,trinity,US,10.140.236.254,0
7237-trinity-210-w,AIR-AP1810W-B-K9,00:42:5a:b2:54:b0,trinity,US,10.140.237.125,0
7237-trinity-211-w,AIR-AP1810W-B-K9,00:42:5a:b2:41:a8,trinity,US,10.140.236.21,0
7237-trinity-212-w,AIR-AP1810W-B-K9,00:42:5a:b2:51:c8,trinity,US,10.140.236.20,0
7237-trinity-213-c,AIR-AP2802I-B-K9,38:90:a5:50:b8:ac,trinity,US,10.140.236.111,6
7237-trinity-213-w,AIR-AP1810W-B-K9,00:42:5a:b2:52:08,trinity,US,10.140.236.22,1
7237-trinity-217-w,AIR-AP1810W-B-K9,00:42:5a:b2:5b:60,trinity,US,10.140.236.28,0
7237-trinity-218-w,AIR-AP1810W-B-K9,00:42:5a:b0:53:80,trinity,US,10.140.237.178,0
7237-trinity-219-w,AIR-AP1810W-B-K9,00:42:5a:b2:00:c0,trinity,US,10.140.236.30,1
7237-trinity-220-w,AIR-AP1810W-B-K9,00:42:5a:b4:11:b0,trinity,US,10.140.237.176,0
7237-trinity-221-w,AIR-AP1810W-B-K9,00:42:5a:b0:21:58,trinity,US,10.140.237.222,0
7237-trinity-222-w,AIR-AP1810W-B-K9,00:42:5a:b0:50:c0,trinity,US,10.140.236.31,0
7237-trinity-229-w,AIR-AP1810W-B-K9,00:42:5a:b0:56:b8,trinity,US,10.140.237.53,0
7237-trinity-230-w,AIR-AP1810W-B-K9,00:42:5a:b2:5b:88,trinity,US,10.140.236.26,0
7237-trinity-231-w,AIR-AP1810W-B-K9,00:42:5a:b0:4c:78,trinity,US,10.140.237.139,0
7237-trinity-235-w,AIR-AP1810W-B-K9,00:42:5a:b4:12:58,trinity,US,10.140.236.27,0
7237-trinity-236-w,AIR-AP1810W-B-K9,00:42:5a:b2:60:78,trinity,US,10.140.237.36,0
7237-trinity-237-w,AIR-AP1810W-B-K9,00:42:5a:b2:3b:f0,trinity,US,10.140.237.195,1
7237-trinity-238-c,AIR-AP2802I-B-K9,50:0f:80:f5:ff:da,trinity,US,10.140.237.29,0
7237-trinity-245-c,AIR-AP2802I-B-K9,00:f2:8b:27:ec:e6,trinity,US,10.140.236.108,1
7237-trinity-246-c,AIR-AP2802I-B-K9,70:70:8b:53:54:26,trinity,US,10.140.236.107,0
7237-trinity-247-w,AIR-AP1810W-B-K9,00:42:5a:b0:64:68,trinity,US,10.140.236.32,0
7237-trinity-248-w,AIR-AP1810W-B-K9,00:42:5a:b0:60:00,trinity,US,10.140.237.92,1
7237-trinity-249-w,AIR-AP1810W-B-K9,00:42:5a:b0:62:68,trinity,US,10.140.237.186,1
7237-trinity-250-w,AIR-AP1810W-B-K9,00:42:5a:b0:64:a8,trinity,US,10.140.237.15,0
7237-trinity-257-w,AIR-AP1810W-B-K9,00:42:5a:b0:65:38,trinity,US,10.140.236.41,1
7237-trinity-258-w,AIR-AP1810W-B-K9,00:42:5a:b0:66:38,trinity,US,10.140.237.32,0
7237-trinity-259-w,AIR-AP1810W-B-K9,00:42:5a:b0:65:88,trinity,US,10.140.237.153,0
7237-trinity-260-w,AIR-AP1810W-B-K9,00:42:5a:b2:01:10,trinity,US,10.140.237.14,0
7237-trinity-261-w,AIR-AP1810W-B-K9,00:42:5a:b0:64:28,trinity,US,10.140.237.16,0
7237-trinity-262-w,AIR-AP1810W-B-K9,00:42:5a:b0:62:d8,trinity,US,10.140.237.94,0
7237-trinity-263-c,AIR-AP2802I-B-K9,00:f2:8b:27:ec:dc,trinity,US,10.140.236.109,0
7237-trinity-263-w,AIR-AP1810W-B-K9,00:42:5a:b0:5e:40,trinity,US,10.140.237.118,0
7237-trinity-267-w,AIR-AP1810W-B-K9,00:42:5a:b0:66:18,trinity,US,10.140.237.10,0
