218alexander-LOST,AIR-CAP3602E-A-K9,7c:ad:74:28:59:95,central-4a-g,US,10.140.27.41,5
300-alexander-1stflr-h-c,AIR-CAP3702I-A-K9,f0:7f:06:a3:60:20,300,alexander,US,10.140.109.25
300-alexander-2ndflr-h-c,AIR-CAP3702I-A-K9,a8:9d:21:e1:0b:94,default,location,US,10.140.109.20
300-alexander-bmst-h-c,AIR-CAP3702I-A-K9,a8:9d:21:c8:9b:18,default,location,US,10.140.109.19
301-swift-apt13-w,AIR-CAP3702E-A-K9,00:c1:64:82:b9:2c,default,location,US,10.140.21.193
301-swift-apt17-w,AIR-CAP3702E-A-K9,00:c1:64:a6:98:f0,default,location,US,10.140.21.239
301-swift-apt1,AIR-CAP3602E-A-K9,7c:ad:74:50:2b:31,default,US,10.140.21.188,11
301-swift-apt20-w,AIR-CAP3702E-A-K9,00:c1:64:82:b5:d4,default,location,US,10.140.21.222
301-swift-apt21-w,AIR-CAP3702E-A-K9,00:c1:64:b4:0d:cc,default,location,US,10.140.21.238
301-swift-apt23,AIR-CAP702W-A-K9,04:6c:9d:aa:0b:98,301,swift,ave,ap
301-swift-apt24-w,AIR-CAP3702E-A-K9,00:c1:64:a6:99:54,default,location,US,10.140.21.195
301-swift-apt28-w,AIR-CAP3702E-A-K9,00:c1:64:b4:0e:38,default,location,US,10.140.21.240
301-swift-apt30-w,AIR-CAP3702E-A-K9,00:c1:64:d8:54:54,default,location,US,10.140.21.241
301-swift-apt4-w,AIR-CAP3502E-A-K9,c4:64:13:00:40:71,swif,US,10.140.21.226,3
301-swift-apt5-w,AIR-CAP3702E-A-K9,00:c8:8b:7e:3c:ac,default,location,US,10.140.21.243
301-swift-apt8-w,AIR-CAP3702E-A-K9,00:c1:64:db:78:2c,default,location,US,10.140.21.242
301-swift-apt9-w,AIR-CAP3702E-A-K9,00:c1:64:e2:0f:28,default,location,US,10.140.21.237
301-swift-lost-23,AIR-CAP3702E-A-K9,00:c8:8b:df:e5:2c,default,location,US,10.140.21.165
302-swift-food-trunks,AIR-CAP3602E-A-K9,7c:ad:74:85:04:55,default,location,US,10.140.21.160
305-alexander-closet,AIR-CAP3502E-A-K9,2c:54:2d:8e:e3:fa,default,US,10.140.30.57,3
306alexander-basement,AIR-CAP3702I-A-K9,00:42:68:af:60:c8,306,alexander,US,10.140.52.187
402oregon-101a-c,AIR-CAP3702I-A-K9,00:42:68:87:c8:7c,402,oregon,US,10.140.51.186
402oregon-102confrm-c,AIR-CAP3702I-A-K9,cc:46:d6:18:8c:28,402,oregon,US,10.140.51.184
402oregon-108-c,AIR-CAP3702I-A-K9,00:42:68:5f:2d:c0,402,oregon,US,10.140.51.183
406-oregon-103-h-c,AIR-CAP3502I-A-K9,c4:64:13:00:41:60,Oregon,US,10.140.89.153,12
